index,smiles
0,c12[h]345=N#1#c16c=37c#2n#7-42#N=1F=6=52
1,N1#f23f4=c5c6n=27c6=4=3(f1)#N#75
2,C.C.C.C#Cnc.C#O
3,f123*456=[h]#1789%10c1%11%12%13n#7-4%14%15%16n#1#847=c=2=%14-%11*#3#%12#9#%15=5-4#F#%13=7=%10=%166
4,C1234#[h]56789o%10%11%12%13*#1#5%14%15%16%17c=2=615[h]#%10=3=%1426c#%11#7=%153n182=%12=%16-o%13#5=6=%174-3-9
5,f1234c56789*%10%11%12%13[h]#5%14%15%16%17n1=%10=65%18#N%11%1416=*#2#%15=%12=7%10c#5=%16=8-3-%131O#4=6=%17%109%18
6,[H]123456#*789%10%11%12[h]=1%13%14%15%16%17n2-71%18%19%20f#8=%1327%21=*=3=19-%148%13[h]=4=2=%15=%18-%101=F#%16=5=%1178%19#f%17#%13=6=%21-%12-1-%20
7,n12o3=*45n678#C49C#64%10#o-76[h]1#5=4-39C#2#8=%106
8,[H]1234#*56789:*%10%11%12%13%14c=1=5%15%16[h]=2=6-%1015c#%1126=F=73%15%121%10n-2-%13-8c%169=4-6-%14-5%10
9,C.C.C.C.C.C#O.cn
10,C.C.C#N.CC.N.O.O
11,o1234n56789%10[h]#1%11%12%13%14%15o=51%16%17%18=c6=%11-25%19%20*#%12-1-726=f5#8=3-%16-%131#F#%14#9=%192%17#f%10#1=4=%15=%20-6-%18
12,o123c45678o=19%10n1%11%12#n#4%13%14n#9=2-54=O=1=6%132#f%107-%11#*#8=%14=4=23%12
13,*12=n3456c1n#3=217c-423*#1(c#5=[H]26)N=3=7
14,N.cn=c1(#O)(fO)C#C1
15,f12345*6789%10%11f#1%12%13%14%15[h]-61%16%17%18[h]%12#2=76%19n%13#8=127#[h]%16#3#6#9=%141#[H]=%15=%104%172=C#1=5=%11%18%197
16,C.C.C.C.C.C.C=CC
17,*123456[h]789%10%11%12n=1%13%14%15%16%17*2-71%18%19%20:*=3=8-%1327%21#[h]#9-1-%1438[h]4#%10#%15-2-%181#n=7=%19=%16-5-3-%11o#6#8#1=%20=%12-%21-%17
18,*1234#o56789%10[h]1%11%12%13*=2=51%14%15#N#%11#625%16#f#1=3=%12=76*=4=2%14-81#[H]=%13=%15=59#[H]=1=6%16%10
19,[h]123[h]4567#o189%10#o#41%11%12%13c=5-2-84%14=*#1-925o#%11-4#c2#%12-6O#3#5#7=%14=%13%10
20,*123456:*789%10%11%12[h]=1%13%14%15%16%17[h]#2-71%18%19%20[h]=3-8-%1327%21[h]=4=9=1-%1438c#%10#%15=2=%181c%11#5#3#7#%19#%16#F#6#1#%17=%12=%218%20
21,*1234n56789%10#[h]-1%11%12%13f#51%14%15f-65%16%17c#%11-2-1-76#[H]%1458=[h]#%16#6=9-3-%12*#%17=4=%13=%15-%10
22,[H]12345#[h]6789%10*=1%11%12%13%14%15#n1%16%17%18[h]#%11=2=6%19%20%21#f=7-1-%1226[h]%16#8=%193-%131#f2#%17#9=%204-%14=c%18%10#5#6#%21-%15-1
23,c12345o6789%10#*%11%12%13%14%15n-6%16%17%18%19[h]=%11-16%20%21f#7=2-%12-%161%11=n%13#3#6=%17-82n4%18#9=%14-%20-1#c5#%15#%21#%10=%19-2-%11
24,C.C.C.C.C#O.CC.N
25,N#[h]1234o567(#O)n#189=c-2-5o#3=8N#6=9#*#47
26,cc1=N#CO#c(nn)N1
27,[h]1n2#c345[h]67#C#C6(#F=3)=c4#1#2n=5-7
28,C=*1c2#C3=c1(c#21=CN=1)=C3
29,C1234#[H]56789#[h]=1%10%11%12%13o51%14%15[h]=6-%105%16c=7-%116%10c5%12#8=2=17#o%16%14=63C#%13#7=4%10%159
30,C.C.C.C.C#O.N.N.N
31,F#*1234o(c#1)c#215=C=32=f-1n4=5#C2
32,F12345#o6789%10%11[h]1%12%13%14%15%16[h]=621%17%18%19o=73-%1226%20*#1#%13#837=[h]%142=94-%171n%106=5=3=%18-%15N#1=%16=%117%19%20
33,*12c3456f7#o1=389%10n1#C4=o5=83=C#619#o%10=2=7-3
34,*1234[h]567#n89%10%11o%12%13%14%15c#1#8=5%16%17%18=O#%12291=O#%13=%10%16*#%14=63%17*:4#7=%11=%181-%15
